1,Arroz Tipo 1,15,20.3
2,Feijão Carioca,10,30.5
3,Macarrão Espaguete,5,25.0
4,Azeite de Oliva,20,15.7
5,Açúcar Refinado,12,18.9
6,Café Torrado e Moído,8,22.4
7,Farinha de Trigo,7,27.8
8,Leite Integral,14,19.9
9,Margarina,9,24.6
10,Óleo de Soja,11,21.5
11,Sal Refinado,6,29.9
12,Biscoito de Maisena,13,17.4
13,Achocolatado em Pó,10,23.3
14,Creme de Leite,16,16.2
15,Leite Condensado,18,26.5
16,Milho Verde em Conserva,20,14.8
17,Ervilha em Conserva,15,28.1
18,Atum em Lata,7,13.5
19,Sardinha em Lata,9,22.7
20,Molho de Tomate,5,31.0
